File;Time;Language;Order;Trial;Part;Words;Metaphor;Gesture;Dimension;Handshape;N Hands;Comment;Speech;Grammar;General comments
bi1_1s_PC.eaf;00:00:43.700;;;1;;;;;;;;;;;
bi1_1s_PC.eaf;00:01:05.900;;;1;1;;;;;;;;så det. .. den her första tonen tyckte jag påminnde om just den här väldigt .. låga, kommer djupt nerifrån;;"gesture changes from round to flat as she thinks of a descriptor and then says ""deep"""
bi1_1s_PC.eaf;00:01:11.600;;;1;1;låga;Height;1;vert;flat H;1;;så det. .. den her första tonen tyckte jag påminnde om just den här väldigt .. låga, kommer djupt nerifrån;;"gesture changes from round to flat as she thinks of a descriptor and then says ""deep"""
bi1_1s_PC.eaf;00:01:16.000;;;1;2;;;;;;;;nästa tonläge skulle jag säga är eh fortfarande i manshög(?) men bara det .. är en aning ljusare;;
bi1_1s_PC.eaf;00:01:22.050;;;1;2;ljusare;Brightness;1;none;flat H;1;;nästa tonläge skulle jag säga är eh fortfarande i manshög(?) men bara det .. är en aning ljusare;;
bi1_1s_PC.eaf;00:02:55.050;;;2;;;;;;;;;;;
bi1_1s_PC.eaf;00:03:02.400;;;2;1;;;;;;;;nog ett snep högre än föregående;;
bi1_1s_PC.eaf;00:03:03.090;;;2;1;högre;Height;0;;;;;nog ett snep högre än föregående;;
bi1_1s_PC.eaf;00:03:21.150;;;2;2;;;;;;;;så att det är ganska ett uppåtgående;;
bi1_1s_PC.eaf;00:03:23.760;;;2;2;uppåtgående;Height;1;vert;open;1;;så att det är ganska ett uppåtgående;;
bi1_1s_PC.eaf;00:03:25.300;;;2;3;;;;;;;;och nästa tone är . et snep ner;;
bi1_1s_PC.eaf;00:03:27.970;;;2;3;ett snepp ner;Height;1;vert;point;1;;och nästa tone är . et snep ner;;
bi1_1s_PC.eaf;00:04:19.050;;;3;;;;;;;;;;;
bi1_1s_PC.eaf;00:04:28.050;;;3;1;;;;;;;;lite ängelkör, däruppe;;
bi1_1s_PC.eaf;00:04:30.400;;;3;1;däruppe;Height;0;;;;;lite ängelkör, däruppe;;
bi1_1s_PC.eaf;00:04:52.200;;;3;2;;;;;;;;och sen så droppar den ner på .. manskör;;
bi1_1s_PC.eaf;00:04:54.480;;;3;2;droppar ner på;Height;1;vert;point;1;;och sen så droppar den ner på .. manskör;;
bi1_1s_PC.eaf;00:05:46.700;;;4;;;;;;;;;;;
bi1_1s_PC.eaf;00:05:57.550;;;4;1;;;;;;;;ett snepp högre;;
bi1_1s_PC.eaf;00:05:59.320;;;4;1;högre;Height;0;;;;;ett snepp högre;;
bi1_1s_PC.eaf;00:06:10.400;;;4;2;;;;;;;;och sen två trappsteg ner;;
